model,type,val_accuracy,val_f1
Gradient Boosting + Features,Advanced ML,0.7291666666666666,0.7318044092564756
Extra Trees + Features,Advanced ML,0.734375,0.7314698635793935
Logistic Regression,Traditional ML,0.7291666666666666,0.7281540600134214
Ensemble,Ensemble,0.7291666666666666,0.7277395552538031
Naive Bayes,Traditional ML,0.71875,0.7164955105743962
Random Forest + Features,Advanced ML,0.7135416666666666,0.7123348906291294
Gradient Boosting,Traditional ML,0.703125,0.7022735539654145
Random Forest,Traditional ML,0.6979166666666666,0.6982134462245043
Linear SVM,Traditional ML,0.6822916666666666,0.6804726933171815
